Time,State,Entity,Confirmed,Deaths,Recovered,Latitude,Longitude
2020-03-30 22:52:45,Texas,Brown,3,0,0,31.77430356,-98.99907113
2020-03-30 22:52:45,Wisconsin,Brown,7,0,0,44.452655299999996,-88.00411844
2020-03-30 22:52:45,South Dakota,Brule,0,0,0,43.71756379,-99.08118954
2020-03-30 22:52:45,North Carolina,Brunswick,14,0,0,34.070565,-78.22814204
2020-03-30 22:52:45,Virginia,Brunswick,0,0,0,36.76366949,-77.8593436
2020-03-30 22:52:45,Georgia,Bryan,7,0,0,32.00979311,-81.44002948
2020-03-30 22:52:45,Oklahoma,Bryan,1,0,0,33.96472458,-96.25903472
2020-03-30 22:52:45,Iowa,Buchanan,2,0,0,42.4709188,-91.83510825
2020-03-30 22:52:45,Missouri,Buchanan,3,0,0,39.65816401,-94.80138942
2020-03-30 22:52:45,Virginia,Buchanan,0,0,0,37.26818323,-82.03749726
2020-03-30 22:52:45,Virginia,Buckingham,0,0,0,37.57242268,-78.52518834
2020-03-30 22:52:45,Pennsylvania,Bucks,249,4,0,40.33682119,-75.10836643
2020-03-30 22:52:45,Iowa,Buena Vista,0,0,0,42.73545875,-95.15100162
2020-03-30 22:52:45,Virginia,Buena Vista,0,0,0,37.73484642,-79.35296097
2020-03-30 22:52:45,Nebraska,Buffalo,6,0,0,40.85486962,-99.07500296
2020-03-30 22:52:45,South Dakota,Buffalo,0,0,0,44.07657829,-99.20814467
2020-03-30 22:52:45,Wisconsin,Buffalo,0,0,0,44.37835084,-91.75332578
2020-03-30 22:52:45,Kentucky,Bullitt,2,0,0,37.97162523,-85.68955617
2020-03-30 22:52:45,Georgia,Bulloch,1,0,0,32.39577406,-81.74811421
2020-03-30 22:52:45,Alabama,Bullock,3,0,0,32.10030533,-85.71265535
2020-03-30 22:52:45,North Carolina,Buncombe,20,1,0,35.61113393,-82.53305
2020-03-30 22:52:45,Illinois,Bureau,1,0,0,41.40385234,-89.5283051
2020-03-30 22:52:45,Georgia,Burke,4,0,0,33.05917989,-81.99928721
2020-03-30 22:52:45,North Carolina,Burke,5,0,0,35.74989637,-81.70755735
2020-03-30 22:52:45,North Dakota,Burke,0,0,0,48.79094471,-102.51821170000001
2020-03-30 22:52:45,North Dakota,Burleigh,29,0,0,46.97847375,-100.46452140000001
2020-03-30 22:52:45,Texas,Burleson,1,0,0,30.49273808,-96.62158484
2020-03-30 22:52:45,New Jersey,Burlington,178,2,0,39.87681124,-74.66927768
2020-03-30 22:52:45,Texas,Burnet,3,0,0,30.78801353,-98.181887
2020-03-30 22:52:45,Wisconsin,Burnett,0,0,0,45.86303537,-92.36711412
2020-03-30 22:52:45,Nebraska,Burt,0,0,0,41.85056773,-96.32605633
2020-03-30 22:52:45,Alabama,Butler,1,0,0,31.75300095,-86.68057478
